Jerky_ID,Time,Temp,Humidity,Weight,fitted_weights
"15,4",165,20.9,37.5,0.689922480620155,0.6874733179687084
"15,4",166,20.8,37.5,0.6873385012919897,0.6863951034695022
"15,4",167,20.8,37.5,0.6873385012919897,0.6853224823541083
"15,4",168,20.7,37.3,0.6873385012919897,0.6842554256060903
"15,4",169,20.6,37.1,0.6847545219638242,0.6831939043595383
"15,4",170,20.6,37.0,0.6821705426356589,0.6821378898982886
"15,4",171,20.5,37.0,0.6821705426356589,0.681087353655146
"15,4",172,21.0,36.0,0.6795865633074936,0.680042267211112
"15,4",173,20.5,36.9,0.6795865633074936,0.6790026022946152
"15,4",174,20.4,37.0,0.6795865633074936,0.6779683307807469
"15,4",175,20.3,37.2,0.6770025839793282,0.6769394246905002
"15,4",176,20.3,37.1,0.6770025839793282,0.6759158561900129
"15,4",177,20.3,37.2,0.6744186046511628,0.674897597589815
"15,4",178,20.5,37.6,0.6744186046511628,0.6738846213440792
"15,4",179,20.4,38.2,0.6718346253229974,0.6728769000498762
"15,4",180,20.4,38.5,0.6718346253229974,0.6718744064464326
"15,4",181,20.4,38.4,0.6718346253229974,0.6708771134143943
"15,4",182,20.4,38.5,0.6718346253229974,0.6698849939750924
"15,4",183,20.5,37.9,0.6692506459948321,0.6688980212898137
"15,4",184,20.6,37.9,0.6692506459948321,0.6679161686590744
"15,4",185,20.6,37.9,0.6692506459948321,0.6669394095218976
"15,4",186,20.7,38.2,0.6666666666666666,0.6659677174550953
"15,4",187,21.4,37.9,0.6666666666666666,0.6650010661725535
"15,4",188,21.6,39.6,0.6692506459948321,0.6640394295245207
"15,4",189,21.8,39.4,0.6692506459948321,0.6630827814969009
"15,4",190,22.2,37.9,0.6692506459948321,0.6621310962105498
"15,4",191,22.5,37.4,0.6692506459948321,0.6611843479205747
"15,4",192,22.3,39.0,0.6692506459948321,0.6602425110156377
"15,4",193,22.1,41.8,0.6692506459948321,0.6593055600172637
"15,4",194,22.3,41.3,0.6666666666666666,0.6583734695791501
"15,4",195,22.2,41.2,0.6666666666666666,0.6574462144864822
"15,4",196,22.2,41.0,0.6666666666666666,0.6565237696552502
"15,4",197,21.7,42.1,0.6640826873385013,0.655606110131571
"15,4",198,21.9,41.1,0.6640826873385013,0.6546932110910134
"15,4",199,21.6,41.0,0.661498708010336,0.6537850478379261
"15,4",200,21.6,40.8,0.661498708010336,0.65288159580477
"15,4",201,21.7,40.5,0.661498708010336,0.6519828305514533
"15,4",202,21.6,40.8,0.6589147286821705,0.6510887277646704
"15,4",203,21.5,40.3,0.6589147286821705,0.6501992632572446
"15,4",204,21.5,39.8,0.6563307493540051,0.6493144129674732
"15,4",205,21.6,39.5,0.6563307493540051,0.6484341529584766
"15,4",206,21.8,38.8,0.6563307493540051,0.6475584594175517
"15,4",207,21.5,39.4,0.6537467700258398,0.6466873086555264
"15,4",208,21.4,39.6,0.6537467700258398,0.6458206771061197
"15,4",209,21.4,39.6,0.6511627906976745,0.6449585413253037
"15,4",210,21.3,39.2,0.6511627906976745,0.6441008779906698
"15,4",211,21.3,39.0,0.6511627906976745,0.6432476639007974
"15,4",212,21.3,39.1,0.648578811369509,0.6423988759746262
"15,4",213,21.2,39.4,0.648578811369509,0.6415544912508325
"15,4",214,21.1,39.4,0.6459948320413437,0.6407144868872072
"15,4",215,21.1,39.6,0.6459948320413437,0.6398788401600386
"15,4",216,21.1,39.1,0.6434108527131783,0.6390475284634969
"15,4",217,21.1,38.9,0.6434108527131783,0.6382205293090233
"15,4",218,21.5,37.7,0.6434108527131783,0.6373978203247217
"15,4",219,21.1,38.6,0.6408268733850129,0.6365793792547528
"15,4",220,21.4,37.6,0.6408268733850129,0.6357651839587328
"15,4",221,21.3,37.7,0.6382428940568475,0.6349552124111342
"15,4",222,21.2,37.6,0.6382428940568475,0.6341494427006893
"15,4",223,21.1,37.7,0.6382428940568475,0.633347853029799
"15,4",224,21.1,37.4,0.6356589147286822,0.6325504217139414
"15,4",225,20.7,37.8,0.6356589147286822,0.6317571271810865
"15,4",226,20.6,37.9,0.6356589147286822,0.6309679479711118
"15,4",227,20.5,37.9,0.6330749354005168,0.6301828627352223
"15,4",228,20.6,37.5,0.6330749354005168,0.6294018502353727
"15,4",229,20.6,37.4,0.6304909560723514,0.628624889343693
"15,4",230,20.6,37.4,0.6304909560723514,0.6278519590419167
"15,4",231,20.7,37.6,0.6304909560723514,0.6270830384208126
"15,4",232,20.7,37.6,0.6304909560723514,0.6263181066796188
"15,4",233,20.7,37.5,0.627906976744186,0.6255571431254806
"15,4",234,20.8,37.3,0.627906976744186,0.6248001271728896
"15,4",235,20.6,37.6,0.627906976744186,0.624047038343128
"15,4",236,20.8,37.2,0.627906976744186,0.6232978562637141
"15,4",237,20.6,37.7,0.6253229974160207,0.622552560667851
"15,4",238,20.8,37.2,0.6253229974160207,0.6218111313938787
"15,4",239,20.7,37.4,0.6253229974160207,0.6210735483847284
"15,4",240,20.6,37.5,0.6227390180878553,0.6203397916873803
"15,4",241,20.5,37.6,0.6227390180878553,0.6196098414523235
"15,4",242,20.6,37.4,0.6227390180878553,0.6188836779330189
"15,4",243,20.6,37.4,0.6227390180878553,0.6181612814853655
"15,4",244,21.1,36.4,0.6201550387596899,0.6174426325671688
"15,4",245,20.6,37.3,0.6201550387596899,0.616727711737612
"15,4",246,20.6,37.4,0.6201550387596899,0.6160164996567298
"15,4",247,20.7,37.2,0.6201550387596899,0.6153089770848862
"15,4",248,20.7,37.1,0.6175710594315246,0.614605124882253
"15,4",249,20.8,36.8,0.6175710594315246,0.6139049240082928
"15,4",250,21.0,36.4,0.6175710594315246,0.613208355521243
"15,4",251,20.9,36.7,0.6175710594315246,0.6125154005776046
"15,4",252,20.8,36.7,0.6149870801033591,0.6118260404316314
"15,4",253,20.9,36.4,0.6149870801033591,0.6111402564348235
"15,4",254,20.9,36.4,0.6149870801033591,0.6104580300354224
"15,4",255,21.3,35.6,0.6124031007751938,0.6097793427779097
"15,4",256,21.3,35.7,0.6124031007751938,0.6091041763025071
"15,4",257,20.7,36.5,0.6124031007751938,0.6084325123446804
"15,4",258,20.8,36.1,0.6098191214470284,0.6077643327346453
"15,4",259,20.6,36.5,0.6098191214470284,0.6070996193968752
"15,4",260,20.5,36.4,0.6098191214470284,0.606438354349613
"15,4",261,20.6,35.9,0.6072351421188631,0.6057805197043848
"15,4",262,20.3,36.4,0.6072351421188631,0.6051260976655151
"15,4",263,20.2,36.4,0.6046511627906976,0.6044750705296458
"15,4",264,20.2,36.2,0.6046511627906976,0.6038274206852577
"15,4",265,20.4,35.5,0.6046511627906976,0.6031831306121938
"15,4",266,20.4,35.5,0.6020671834625323,0.6025421828811849
"15,4",267,20.3,35.4,0.6020671834625323,0.6019045601533787
"15,4",268,20.0,35.7,0.6020671834625323,0.6012702451798706
"15,4",269,20.3,35.0,0.599483204134367,0.6006392208012371
"15,4",270,19.8,35.7,0.599483204134367,0.6000114699470712
"15,4",271,19.7,35.7,0.5968992248062015,0.5993869756355213
"15,4",272,19.8,35.5,0.5968992248062015,0.5987657209728313
"15,4",273,20.1,34.9,0.5968992248062015,0.5981476891528837
"15,4",274,19.8,35.4,0.5943152454780362,0.5975328634567452
"15,4",275,19.8,35.6,0.5943152454780362,0.5969212272522141
"15,4",276,19.7,35.8,0.5943152454780362,0.5963127639933703
"15,4",277,19.7,35.9,0.5943152454780362,0.5957074572201284
"15,4",278,19.7,35.9,0.5917312661498708,0.5951052905577914
"15,4",279,19.7,36.0,0.5917312661498708,0.5945062477166086
"15,4",280,19.6,36.0,0.5917312661498708,0.5939103124913346
"15,4",281,19.5,36.0,0.5917312661498708,0.5933174687607907
"15,4",282,19.5,35.9,0.5891472868217055,0.592727700487429
"15,4",283,19.5,36.0,0.5891472868217055,0.5921409917168987
"15,4",284,19.9,34.9,0.5891472868217055,0.5915573265776144
"15,4",285,19.4,36.0,0.58656330749354,0.5909766892803264
"15,4",286,19.4,36.0,0.58656330749354,0.5903990641176943
"15,4",287,19.3,36.1,0.58656330749354,0.5898244354638613
"15,4",288,19.4,35.9,0.58656330749354,0.5892527877740319
"15,4",289,19.5,35.8,0.5839793281653747,0.5886841055840516
"15,4",290,20.1,34.4,0.5839793281653747,0.5881183735099881
"15,4",291,19.6,35.6,0.5839793281653747,0.5875555762477152
"15,4",292,19.8,35.4,0.5839793281653747,0.5869956985724991
"15,4",293,20.4,34.2,0.5839793281653747,0.5864387253385863
"15,4",294,20.6,33.9,0.5839793281653747,0.5858846414787943
"15,4",295,20.3,34.4,0.5813953488372093,0.5853334320041029
"15,4",296,20.5,34.2,0.5813953488372093,0.5847850820032502
"15,4",297,19.9,35.5,0.5813953488372093,0.5842395766423281
"15,4",298,19.8,35.6,0.5813953488372093,0.5836969011643816
"15,4",299,19.8,35.6,0.5813953488372093,0.5831570408890091
"15,4",300,20.0,35.3,0.5813953488372093,0.582619981211966
"15,4",301,20.0,35.3,0.5813953488372093,0.582085707604769
"15,4",302,20.0,35.3,0.5788113695090439,0.581554205614303
"15,4",303,20.1,35.1,0.5788113695090439,0.581025460862431
"15,4",304,20.0,35.2,0.5788113695090439,0.5804994590456041
"15,4",305,19.7,35.7,0.5788113695090439,0.5799761859344749
"15,4",306,19.7,35.7,0.5762273901808785,0.579455627373513
"15,4",307,20.0,34.9,0.5762273901808785,0.5789377692806215
"15,4",308,19.8,35.1,0.5762273901808785,0.5784225976467565
"15,4",309,20.0,34.6,0.5762273901808785,0.5779100985355476
"15,4",310,19.6,35.2,0.5736434108527132,0.5774002580829217
"15,4",311,19.6,35.1,0.5736434108527132,0.5768930624967269
"15,4",312,19.3,35.4,0.5736434108527132,0.5763884980563602
"15,4",313,19.2,35.4,0.5710594315245479,0.5758865511123962
"15,4",314,19.8,34.1,0.5710594315245479,0.5753872080862177
"15,4",315,19.1,35.2,0.5710594315245479,0.5748904554696481
"15,4",316,19.5,34.3,0.5684754521963824,0.5743962798245869
"15,4",317,19.0,35.1,0.5684754521963824,0.5739046677826449
"15,4",318,19.2,34.6,0.5684754521963824,0.5734156060447839
"15,4",319,19.5,34.2,0.5684754521963824,0.5729290813809556
"15,4",320,19.6,34.0,0.5684754521963824,0.5724450806297448
"15,4",321,19.1,34.9,0.5658914728682171,0.5719635906980127
"15,4",322,19.1,35.2,0.5658914728682171,0.5714845985605433
"15,4",323,19.1,35.2,0.5658914728682171,0.5710080912596902
"15,4",324,19.3,35.2,0.5658914728682171,0.5705340559050268
"15,4",325,19.6,34.2,0.5658914728682171,0.5700624796729974
"15,4",326,18.9,35.5,0.5633074935400517,0.56959334980657
"15,4",327,18.9,35.7,0.5633074935400517,0.5691266536148916
"15,4",328,18.9,35.4,0.5633074935400517,0.5686623784729445
"15,4",329,18.9,35.5,0.5633074935400517,0.5682005118212056
"15,4",330,18.8,35.4,0.5633074935400517,0.5677410411653051
"15,4",331,19.1,34.6,0.5607235142118863,0.5672839540756903
"15,4",332,18.7,35.3,0.5607235142118863,0.566829238187288
"15,4",333,18.6,35.3,0.5607235142118863,0.5663768811991705
"15,4",334,18.6,35.3,0.5607235142118863,0.5659268708742232
