Jerky_ID,Time,Temp,Humidity,Weight
"15,1",92.86555555555556,22.4,42.4,0.8126888217522659
"15,1",93.86555555555556,22.0,44.1,0.8126888217522659
"15,1",94.86555555555556,21.9,44.3,0.8111782477341389
"15,1",95.86555555555556,21.8,44.0,0.8096676737160121
"15,1",96.86555555555556,22.2,43.4,0.8096676737160121
"15,1",97.86555555555556,22.4,43.3,0.8081570996978852
"15,1",98.86555555555556,22.5,42.4,0.8081570996978852
"15,1",99.86555555555556,22.5,43.9,0.8066465256797583
"15,1",100.86555555555556,22.5,43.3,0.8051359516616314
"15,1",101.86555555555556,22.4,43.9,0.8036253776435045
"15,1",102.86555555555556,22.4,43.8,0.8021148036253777
"15,1",103.86555555555556,22.4,43.9,0.8021148036253777
"15,1",104.86555555555556,22.4,43.9,0.8006042296072508
"15,1",105.86555555555556,22.4,43.9,0.8006042296072508
"15,1",106.86555555555556,22.4,43.9,0.7990936555891238
"15,1",107.86555555555556,22.5,43.4,0.797583081570997
"15,1",108.86555555555556,22.4,43.7,0.7960725075528701
"15,1",109.86555555555556,23.0,42.1,0.7960725075528701
"15,1",110.86555555555556,22.4,43.6,0.7945619335347432
"15,1",111.86555555555556,22.4,43.3,0.7930513595166163
"15,1",112.86555555555556,22.3,43.4,0.7915407854984894
"15,1",113.86666666666666,22.4,43.1,0.7915407854984894
"15,1",114.86555555555556,22.3,42.9,0.7900302114803626
"15,1",115.86555555555556,22.4,42.4,0.7885196374622356
"15,1",116.86555555555556,22.2,42.6,0.7885196374622356
"15,1",117.86555555555556,22.2,42.5,0.7870090634441088
"15,1",118.86555555555556,22.2,42.3,0.7854984894259819
"15,1",119.86555555555556,22.2,42.4,0.783987915407855
"15,1",120.86555555555556,22.2,41.7,0.7824773413897281
"15,1",121.86555555555556,22.6,40.6,0.7824773413897281
"15,1",122.86555555555556,22.1,41.1,0.7809667673716012
"15,1",123.86555555555556,22.0,40.9,0.7794561933534743
"15,1",124.86555555555556,21.9,40.6,0.7779456193353474
"15,1",125.86555555555556,22.1,39.8,0.7764350453172205
"15,1",126.86555555555556,22.2,39.7,0.7764350453172205
"15,1",127.86555555555556,22.3,40.0,0.7749244712990937
"15,1",128.86555555555555,22.1,40.1,0.7734138972809668
"15,1",129.86555555555555,22.1,39.8,0.7719033232628398
"15,1",130.86555555555555,22.1,39.6,0.7719033232628398
"15,1",131.86555555555555,21.9,39.8,0.770392749244713
"15,1",132.86555555555555,21.9,39.8,0.7688821752265861
"15,1",133.86555555555555,21.9,39.8,0.7673716012084593
"15,1",134.86555555555555,21.7,39.8,0.7658610271903323
"15,1",135.86555555555555,21.7,39.8,0.7658610271903323
"15,1",136.86555555555555,21.6,39.8,0.7643504531722054
"15,1",137.86555555555555,21.6,39.6,0.7628398791540786
"15,1",138.86555555555555,22.0,38.5,0.7613293051359517
"15,1",139.86555555555555,21.5,39.4,0.7598187311178247
"15,1",140.86555555555555,21.4,39.3,0.7583081570996979
"15,1",141.86555555555555,21.4,39.1,0.7583081570996979
"15,1",142.86555555555555,21.7,38.1,0.756797583081571
"15,1",143.86555555555555,21.2,39.0,0.7552870090634441
"15,1",144.86555555555555,21.4,38.3,0.7537764350453172
"15,1",145.86555555555555,21.3,38.6,0.7522658610271903
"15,1",146.86555555555555,21.4,38.5,0.7522658610271903
"15,1",147.86555555555555,21.6,37.7,0.7507552870090635
"15,1",148.86555555555555,21.5,38.1,0.7492447129909365
"15,1",149.86555555555555,21.5,38.0,0.7477341389728097
"15,1",150.86555555555555,21.5,37.7,0.7462235649546828
"15,1",151.86555555555555,21.5,38.1,0.7462235649546828
"15,1",152.86555555555555,21.5,38.1,0.7447129909365559
"15,1",153.86555555555555,21.4,38.9,0.743202416918429
